epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1642.81,0.87954,1.97872,0.79132,0.98306,0.76807,0.75539,0.8153,0.66321,0.74679,0.73682,0.78106,0.39613,0.73267,4.53411,0.66425,0.90931,0.0005545,0.0005545,0.0005545
47,1679.11,0.89021,1.97131,0.77712,0.98355,0.72664,0.73632,0.77324,0.62965,0.70744,0.70579,0.74196,0.37389,0.7354,4.19866,0.70185,0.90842,0.0005446,0.0005446,0.0005446
48,1714.97,0.87213,1.94377,0.7544,0.97629,0.78618,0.74851,0.82053,0.67235,0.78073,0.71411,0.78399,0.39006,0.7321,4.2319,0.63955,0.90785,0.0005347,0.0005347,0.0005347
49,1751,0.87032,1.92909,0.753,0.97152,0.78244,0.72861,0.80759,0.64925,0.76145,0.70715,0.76831,0.3845,0.74711,4.33894,0.64753,0.91132,0.0005248,0.0005248,0.0005248
50,1786.78,0.87199,1.92475,0.75419,0.97488,0.76722,0.74056,0.80671,0.65762,0.74436,0.71706,0.76497,0.38227,0.73595,4.40835,0.65096,0.90711,0.0005149,0.0005149,0.0005149
51,1823.11,0.86766,1.93838,0.74659,0.97445,0.76961,0.71928,0.80386,0.65292,0.74884,0.69836,0.76619,0.38254,0.73779,4.49624,0.66525,0.90465,0.000505,0.000505,0.000505
52,1859.2,0.86973,1.92667,0.74391,0.97375,0.7879,0.73109,0.81284,0.66067,0.77094,0.70991,0.77634,0.3848,0.72779,4.66137,0.65611,0.90459,0.0004951,0.0004951,0.0004951
53,1895.78,0.86069,1.92412,0.74693,0.97449,0.76462,0.78489,0.81931,0.66898,0.74364,0.76308,0.78481,0.39181,0.72972,4.43396,0.62999,0.90836,0.0004852,0.0004852,0.0004852
54,1932.22,0.8528,1.88614,0.72109,0.96836,0.79906,0.71659,0.8204,0.6689,0.80846,0.67821,0.78042,0.38952,0.73105,4.32131,0.64271,0.90339,0.0004753,0.0004753,0.0004753
55,1968.96,0.85602,1.90133,0.7255,0.96859,0.77095,0.76043,0.8117,0.66101,0.76556,0.72536,0.77916,0.38387,0.74031,4.42074,0.64523,0.91046,0.0004654,0.0004654,0.0004654
56,2005.55,0.85534,1.89205,0.72788,0.96949,0.77225,0.77564,0.82408,0.67903,0.75735,0.75156,0.79053,0.39508,0.73118,4.57085,0.63752,0.91001,0.0004555,0.0004555,0.0004555
57,2042.32,0.86121,1.91221,0.72169,0.96857,0.79554,0.72075,0.81796,0.66869,0.77181,0.70259,0.78177,0.39275,0.73597,4.38223,0.63426,0.91115,0.0004456,0.0004456,0.0004456
58,2079.05,0.84403,1.88157,0.71132,0.96108,0.79376,0.73706,0.79995,0.65379,0.77214,0.71786,0.76735,0.38151,0.73051,4.56014,0.64748,0.90722,0.0004357,0.0004357,0.0004357
59,2115.03,0.84251,1.86722,0.7129,0.96495,0.79407,0.73886,0.81465,0.66628,0.78157,0.72013,0.78329,0.38402,0.73003,4.53491,0.62981,0.90668,0.0004258,0.0004258,0.0004258
60,2151.11,0.84655,1.88868,0.71464,0.96533,0.81043,0.7355,0.82342,0.67566,0.78198,0.71018,0.77901,0.38788,0.72404,4.49925,0.62835,0.90401,0.0004159,0.0004159,0.0004159
61,2186.83,0.84762,1.87771,0.69968,0.96339,0.81139,0.72622,0.81915,0.6724,0.79014,0.7058,0.78806,0.39577,0.7222,4.60521,0.62637,0.90816,0.000406,0.000406,0.000406
62,2223.4,0.83596,1.86611,0.69187,0.96272,0.78531,0.71429,0.81557,0.67201,0.77225,0.6939,0.78556,0.39068,0.72745,4.79491,0.63838,0.90839,0.0003961,0.0003961,0.0003961
63,2259.21,0.84517,1.86818,0.69937,0.96354,0.75912,0.75118,0.81679,0.67312,0.74309,0.72983,0.78227,0.38729,0.72854,4.54598,0.64586,0.9114,0.0003862,0.0003862,0.0003862
64,2294.96,0.8345,1.84464,0.68965,0.95947,0.82466,0.735,0.82331,0.67914,0.80969,0.71413,0.78871,0.38648,0.72414,4.5287,0.62984,0.90611,0.0003763,0.0003763,0.0003763
65,2330.76,0.83292,1.84277,0.68695,0.9561,0.7839,0.75199,0.82109,0.67705,0.76637,0.73536,0.79431,0.39642,0.73146,4.54092,0.62002,0.90679,0.0003664,0.0003664,0.0003664
66,2366.6,0.8354,1.84698,0.67685,0.9628,0.79645,0.75157,0.82568,0.67758,0.80578,0.69093,0.78268,0.39219,0.71489,4.45389,0.6206,0.89927,0.0003565,0.0003565,0.0003565
67,2403,0.83369,1.83201,0.67339,0.95673,0.80429,0.7303,0.83201,0.68233,0.78918,0.70877,0.79794,0.39635,0.71919,4.74462,0.61116,0.90436,0.0003466,0.0003466,0.0003466
68,2439.01,0.8306,1.83517,0.6703,0.95665,0.79895,0.75199,0.8329,0.687,0.77642,0.72991,0.79565,0.39189,0.71752,4.51968,0.60699,0.90186,0.0003367,0.0003367,0.0003367
69,2474.55,0.8283,1.83719,0.67121,0.95473,0.78547,0.75291,0.82315,0.67609,0.76499,0.73,0.78464,0.39039,0.71561,4.58668,0.62541,0.90035,0.0003268,0.0003268,0.0003268
70,2510.71,0.82169,1.80576,0.66466,0.95295,0.82311,0.73253,0.82561,0.67707,0.81029,0.70646,0.7924,0.39796,0.72103,4.52476,0.61998,0.90652,0.0003169,0.0003169,0.0003169
71,2546.92,0.82694,1.83818,0.66808,0.95253,0.80893,0.726,0.82365,0.6824,0.81038,0.68886,0.78803,0.40025,0.71278,4.5568,0.61077,0.90226,0.000307,0.000307,0.000307
72,2582.21,0.83254,1.84673,0.66212,0.95387,0.792,0.74095,0.81739,0.67205,0.77667,0.72106,0.78402,0.39084,0.72594,4.70098,0.62719,0.90863,0.0002971,0.0002971,0.0002971
73,2617.54,0.82286,1.81618,0.66052,0.95786,0.81402,0.75077,0.82759,0.68188,0.79949,0.72846,0.79021,0.39702,0.72143,4.53237,0.61769,0.90597,0.0002872,0.0002872,0.0002872
74,2652.66,0.81333,1.80305,0.6495,0.95088,0.78559,0.75422,0.82208,0.67542,0.77407,0.7301,0.78804,0.39414,0.72287,4.62337,0.62752,0.90448,0.0002773,0.0002773,0.0002773
75,2688.34,0.82386,1.81964,0.64963,0.95573,0.80887,0.74858,0.82644,0.67572,0.80369,0.70894,0.78931,0.39239,0.7239,4.71799,0.60864,0.9065,0.0002674,0.0002674,0.0002674
76,2724.05,0.80866,1.78553,0.64651,0.94863,0.81222,0.71463,0.81985,0.67177,0.79208,0.69676,0.78662,0.39226,0.72354,4.605,0.62111,0.90463,0.0002575,0.0002575,0.0002575
77,2759.74,0.82272,1.79849,0.64666,0.95247,0.79039,0.76442,0.82949,0.68656,0.77967,0.72648,0.79071,0.39342,0.7101,4.77173,0.60003,0.90314,0.0002476,0.0002476,0.0002476
78,2795.31,0.80752,1.79123,0.63917,0.94878,0.80402,0.76526,0.84198,0.69384,0.78606,0.7462,0.80626,0.40494,0.71679,4.72832,0.59123,0.9064,0.0002377,0.0002377,0.0002377
79,2831.12,0.80728,1.77012,0.63192,0.94754,0.81902,0.73575,0.83454,0.68352,0.81269,0.71056,0.79634,0.39498,0.7149,4.76053,0.60203,0.90502,0.0002278,0.0002278,0.0002278
